condition	name	pvalue	X	combinedScore	enrichedSubstrates	zscore
A549_EGF_ABT-869	GSK3B	9.25110783572842e-08	10	0	['JUN', 'SP1', 'RELA', 'TCF3', 'FOSL2', 'NCOR2', 'NCOR1', 'CEBPA', 'SIRT1', 'POU5F1', 'RB1', 'MYC', 'SOX2', 'SKP2', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	JNK1	9.75347433411972e-08	11	0	['MYC', 'SIRT1', 'RELA', 'JUN', 'SMAD3', 'SP1']	0
A549_EGF_ABT-869	CK2A2	6.42125109109912e-07	12	0	['MYC', 'HSP90AA1', 'HDAC2', 'RELA', 'JUN']	0
A549_EGF_ABT-869	MAPK3	7.08511778992089e-07	13	0	['MYC', 'JUN', 'FOSL2', 'POU5F1', 'SMAD4', 'SMAD3', 'SP1', 'CEBPA']	0
A549_EGF_ABT-869	CK2-A	9.22538548571939e-07	14	0	['HSP90AA1', 'HDAC2', 'RELA', 'JUN', 'VDR']	0
A549_EGF_ABT-869	JNK2	1.7268080235289e-06	15	0	['RB1', 'RELA', 'MYC', 'JUN']	0
A549_EGF_ABT-869	PRKACA	2.47040545782736e-06	16	0	['JUN', 'POU5F1', 'HSP90AA1', 'RELA', 'VDR', 'RB1', 'MYC', 'FOSL2', 'NCOR2', 'NCOR1', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	PIM1	1.2548874939267e-05	17	0	['MYC', 'SKP2', 'POU5F1', 'RELA']	0
A549_EGF_ABT-869	PKBALPHA	1.57066135872034e-05	18	0	['MYC', 'SKP2', 'NCOR2', 'RELA', 'SMAD3', 'HSP90AA1']	0
A549_EGF_ABT-869	MAPK8	2.33828144964367e-05	19	0	['SOX2', 'MYC', 'JUN', 'FOSL2', 'SIRT1', 'SP1']	0
A549_EGF_ABT-869	HIPK2	2.71815475490562e-05	20	0	['MYC', 'SMAD3', 'SIRT1', 'NCOR1', 'RELA']	0
A549_EGF_ABT-869	IKKALPHA	3.87207673761364e-05	21	0	['HSP90AA1', 'RELA', 'NCOR2']	0
A549_EGF_ABT-869	TGFBR2	3.94615259794748e-05	22	0	['MYC', 'HSP90AA1', 'SMAD3', 'SP1']	0
A549_EGF_ABT-869	PRKCA	4.61715593460431e-05	23	0	['JUN', 'POU5F1', 'RELA', 'VDR', 'RB1', 'MYC', 'FOSL2', 'NCOR2', 'NCOR1', 'SMAD3']	0
A549_EGF_ABT-869	CDK2	5.59155806108133e-05	24	0	['JUN', 'SP1', 'TCF3', 'FOSL2', 'NCOR2', 'HDAC2', 'POU5F1', 'HSP90AA1', 'RB1', 'MYC', 'SOX2', 'SKP2', 'SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	CHUK	7.02735004326068e-05	25	0	['MYC', 'NCOR2', 'NCOR1', 'RELA']	0
A549_EGF_ABT-869	CDC2	7.42253428930705e-05	26	0	['RB1', 'MYC', 'SKP2', 'JUN', 'NCOR1', 'RELA']	0
A549_EGF_ABT-869	RPS6KA3	8.00911283002301e-05	27	0	['MYC', 'JUN', 'POU5F1', 'NCOR2', 'KAT2B', 'SMAD3']	0
A549_EGF_ABT-869	IKK-A	0.000136097281491008	28	0	['NCOR2', 'RELA']	0
A549_EGF_ABT-869	PRKDC	0.000192381314798641	29	0	['MYC', 'SKP2', 'HSP90AA1', 'RELA']	0
A549_EGF_ABT-869	DNA-PK	0.000290257741554718	30	0	['HSP90AA1', 'JUN']	0
A549_EGF_ABT-869	CSNK2A2	0.000470580927363211	31	0	['SOX2', 'MYC', 'JUN', 'POU5F1']	0
A549_EGF_ABT-869	ABL1	0.000899631793449529	32	0	['RB1', 'MYC', 'JUN', 'HDAC2']	0
A549_EGF_ABT-869	SRC	0.00109278141304137	33	0	['RB1', 'MYC', 'JUN', 'FOSL2', 'POU5F1', 'SMAD3']	0
A549_EGF_ABT-869	PIM2	0.00220406259363345	34	0	['MYC', 'POU5F1']	0
A549_EGF_ABT-869	CHEK1	0.00232304691298524	35	0	['RB1', 'SOX2', 'MYC', 'SKP2']	0
A549_EGF_ABT-869	MOK	0.00236986556032017	36	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	MELK	0.00254140055118444	37	0	['SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	GSK-3-B	0.00271863931815762	38	0	['RELA', 'MYC']	0
A549_EGF_ABT-869	CDK6	0.00290155370982365	39	0	['RB1', 'CEBPA']	0
A549_EGF_ABT-869	CDK3	0.0032842972430677	40	0	['RB1', 'JUN']	0
A549_EGF_ABT-869	ATM	0.00357965358723421	41	0	['RB1', 'SOX2', 'SP1', 'HSP90AA1']	0
A549_EGF_ABT-869	CDK9	0.00390028146589427	42	0	['RB1', 'SMAD3']	0
A549_EGF_ABT-869	ALK	0.0045658448183095	43	0	['RELA', 'HSP90AA1']	0
A549_EGF_ABT-869	RAF1	0.00486843162389733	44	0	['RB1', 'MYC', 'HSP90AA1']	0
A549_EGF_ABT-869	DYRK2	0.00503673218188814	45	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	TRIM33	0.00523102853969597	46	0	['SMAD4']	0
A549_EGF_ABT-869	LYK5	0.00523102853969597	47	0	['SMAD4']	0
A549_EGF_ABT-869	PKCIOTA	0.00630749394295337	48	0	['RELA', 'HSP90AA1']	0
A549_EGF_ABT-869	GSK3BETA	0.00654140814430387	49	0	['MYC', 'JUN', 'SMAD3']	0
A549_EGF_ABT-869	MAP2K3	0.00741855175355197	50	0	['SMAD4', 'SMAD3']	0
A549_EGF_ABT-869	GSK3A	0.00800498083839346	51	0	['MYC', 'CEBPA']	0
A549_EGF_ABT-869	GSK3ALPHA	0.00830582869522873	52	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	MAPK10	0.00955950315673964	53	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	CSNK1E	0.0115880404199543	54	0	['MYC', 'POU5F1']	0
A549_EGF_ABT-869	PAK2	0.0174035804313004	55	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	PKCEPSILON	0.0195677537406123	56	0	['HSP90AA1', 'SP1']	0
A549_EGF_ABT-869	AURORAA	0.0200136267099779	57	0	['NCOR1', 'HDAC3']	0
A549_EGF_ABT-869	PRKCZ	0.0204637911565986	58	0	['RELA', 'SP1']	0
A549_EGF_ABT-869	CK1ALPHA	0.021839801322149	59	0	['RB1', 'JUN']	0
A549_EGF_ABT-869	MAPK9	0.0232536028717615	60	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	TRRAP	0.0258957030245002	61	0	['NCOR2']	0
A549_EGF_ABT-869	MAP3K7	0.0277156224512766	62	0	['SMAD3', 'HSP90AA1']	0
A549_EGF_ABT-869	PKC-Z	0.0284498533849549	63	0	['RELA']	0
A549_EGF_ABT-869	CAMKIV	0.0284498533849549	64	0	['RELA']	0
A549_EGF_ABT-869	JNK3	0.0309976247484685	65	0	['JUN']	0
A549_EGF_ABT-869	BRD2	0.0335390322525531	66	0	['RB1']	0
A549_EGF_ABT-869	ERBB2	0.0341573948089323	67	0	['HSP90AA1', 'NCOR1']	0
A549_EGF_ABT-869	MTOR	0.0352834103726402	68	0	['MYC', 'JUN']	0
A549_EGF_ABT-869	ACTR2B	0.0386028160569738	69	0	['SMAD3']	0
A549_EGF_ABT-869	CAMK2A	0.0429489400004932	70	0	['MYC', 'NCOR2']	0
A549_EGF_ABT-869	DMPK	0.0536429985474869	71	0	['SP1']	0
A549_EGF_ABT-869	PKA-A	0.0536429985474869	72	0	['RELA']	0
A549_EGF_ABT-869	PIM3	0.0561278068782283	73	0	['POU5F1']	0
A549_EGF_ABT-869	PNCK	0.0561278068782283	74	0	['HSP90AA1']	0
A549_EGF_ABT-869	MAPK15	0.0561278068782283	75	0	['JUN']	0
A549_EGF_ABT-869	MAP3K10	0.058606400858123	76	0	['TCF3']	0
A549_EGF_ABT-869	SIK1	0.058606400858123	77	0	['NCOR2']	0
A549_EGF_ABT-869	WEE1	0.058606400858123	78	0	['HSP90AA1']	0
A549_EGF_ABT-869	CSNK1G1	0.0610787952528057	79	0	['RELA']	0
A549_EGF_ABT-869	DYRK3	0.0610787952528057	80	0	['SIRT1']	0
A549_EGF_ABT-869	PBK	0.0635450047960463	81	0	['JUN']	0
A549_EGF_ABT-869	RPS6KA4	0.0635450047960463	82	0	['RELA']	0
A549_EGF_ABT-869	PAK5	0.0635450047960463	83	0	['TCF3']	0
A549_EGF_ABT-869	VRK1	0.0684589280949943	84	0	['JUN']	0
A549_EGF_ABT-869	PKBGAMMA	0.07334828795995	85	0	['RELA']	0
A549_EGF_ABT-869	CDK8	0.07334828795995	86	0	['SMAD3']	0
A549_EGF_ABT-869	UHMK1	0.0757837930849517	87	0	['SMAD4']	0
A549_EGF_ABT-869	CAMK4	0.0757837930849517	88	0	['RELA']	0
A549_EGF_ABT-869	CAMK2D	0.078213201063914	89	0	['SMAD4']	0
A549_EGF_ABT-869	CDK5	0.0866128283847916	90	0	['RB1', 'MYC']	0
A549_EGF_ABT-869	EGFR	0.0889779349736562	91	0	['JUN', 'HSP90AA1']	0
A549_EGF_ABT-869	PKG1CGKI	0.0926624187186993	92	0	['SP1']	0
A549_EGF_ABT-869	PLK3	0.0998058834445676	93	0	['JUN']	0
A549_EGF_ABT-869	STK11	0.10217511222551	94	0	['SMAD4']	0
A549_EGF_ABT-869	DYRK1A	0.104538401601468	95	0	['SIRT1']	0
A549_EGF_ABT-869	RPS6KA5	0.104538401601468	96	0	['RELA']	0
A549_EGF_ABT-869	PKR	0.106895765717689	97	0	['HSP90AA1']	0
A549_EGF_ABT-869	RIPK2	0.111592774606524	98	0	['HSP90AA1']	0
A549_EGF_ABT-869	NLK	0.113932447510727	99	0	['SMAD4']	0
A549_EGF_ABT-869	IKKBETA	0.116266251422832	100	0	['RELA']	0
A549_EGF_ABT-869	PRKCG	0.118594200334911	101	0	['HSP90AA1']	0
A549_EGF_ABT-869	PKBBETA	0.118594200334911	102	0	['RELA']	0
A549_EGF_ABT-869	PRKCI	0.12091630819992	103	0	['SP1']	0
A549_EGF_ABT-869	CHEK2	0.123232588940551	104	0	['RB1']	0
A549_EGF_ABT-869	FGR	0.127847724604829	105	0	['HSP90AA1']	0
A549_EGF_ABT-869	PKAGAMMA	0.143819177234249	106	0	['RELA']	0
A549_EGF_ABT-869	PKD1	0.150578468260779	107	0	['JUN']	0
A549_EGF_ABT-869	MAP3K8	0.159511833756452	108	0	['HSP90AA1']	0
A549_EGF_ABT-869	BTK	0.163944891848521	109	0	['JUN']	0
A549_EGF_ABT-869	PDHK1	0.170552748792276	110	0	['HSP90AA1']	0
A549_EGF_ABT-869	MAP2K1	0.174930321534612	111	0	['MYC']	0
A549_EGF_ABT-869	PRKD1	0.177110847993959	112	0	['JUN']	0
A549_EGF_ABT-869	MAPK13	0.179285885399695	113	0	['JUN']	0
A549_EGF_ABT-869	AURORAB	0.185778194432787	114	0	['RB1']	0
A549_EGF_ABT-869	INSR	0.187931406612854	115	0	['JUN']	0
A549_EGF_ABT-869	TBK1	0.19007919508522	116	0	['RELA']	0
A549_EGF_ABT-869	IKBKE	0.192221572828508	117	0	['RELA']	0
A549_EGF_ABT-869	RPS6KA1	0.192221572828508	118	0	['JUN']	0
A549_EGF_ABT-869	CSNK1A1	0.194358552796646	119	0	['RELA']	0
A549_EGF_ABT-869	MAPK12	0.202852752879045	120	0	['JUN']	0
A549_EGF_ABT-869	IKBKB	0.211261616986281	121	0	['RELA']	0
A549_EGF_ABT-869	TTK	0.240032318728623	122	0	['HSP90AA1']	0
A549_EGF_ABT-869	PRKAA1	0.246066060374341	123	0	['RB1']	0
A549_EGF_ABT-869	RIPK3	0.256021034557617	124	0	['HSP90AA1']	0
A549_EGF_ABT-869	PKAALPHA	0.259967865630003	125	0	['RELA']	0
A549_EGF_ABT-869	MAPK11	0.275556685085346	126	0	['JUN']	0
A549_EGF_ABT-869	ATR	0.277483152052208	127	0	['SP1']	0
A549_EGF_ABT-869	PKCALPHA	0.294603176194	128	0	['MYC']	0
A549_EGF_ABT-869	PRKCD	0.318651447878754	129	0	['JUN']	0
A549_EGF_ABT-869	MAP3K1	0.327691198463456	130	0	['HSP90AA1']	0
A549_EGF_ABT-869	AURKB	0.336616653571634	131	0	['RB1']	0
A549_EGF_ABT-869	LYN	0.341917636935175	132	0	['MYC']	0
A549_EGF_ABT-869	PRKCB	0.424544787679086	133	0	['JUN']	0
A549_EGF_ABT-869	PLK1	0.525075019246473	134	0	['MYC']	0
A549_EGF_BIBF1120	CSNK2A1	2.50012695850878e-22	0	0	['AKT1', 'DAXX', 'JUN', 'EZH2', 'NELFE', 'SIRT1', 'CRYAB', 'STAT3', 'YY1', 'SQSTM1', 'KPNB1', 'FOXO3', 'FOXO1', 'MDM4', 'SUMO1', 'HSP90AA1', 'UHRF1', 'STUB1', 'TRIM28', 'TP53', 'SMARCA4', 'NCOA2', 'NCOA3', 'RELA', 'VDR', 'CAV1', 'HMGA1', 'BHLHE40', 'TCF3', 'GSK3B', 'OTUB1', 'RB1', 'MYC', 'SNAI1', 'CDKN1A', 'NCOR2', 'NCOR1', 'USP7', 'DNMT1', 'CUL3', 'SKIL', 'COPS5', 'CEBPB', 'HDAC2', 'HDAC3', 'RBBP4', 'PML', 'SOX2', 'TWIST1', 'XPO1', 'SUZ12', 'SMAD4', 'SMAD3', 'ESR1', 'MAPK9']	0
A549_EGF_BIBF1120	MAPK14	8.32699569742974e-21	1	0	['AKT1', 'JUN', 'EZH2', 'NELFE', 'CRYAB', 'STAT3', 'YY1', 'SQSTM1', 'FOXO3', 'FOXO1', 'SP1', 'MDM4', 'NFE2L2', 'HSP90AA1', 'TP53', 'SMARCA4', 'HNF4A', 'NCOA2', 'NCOA3', 'RELA', 'CAV1', 'HMGA1', 'BHLHE40', 'TCF3', 'GSK3B', 'RB1', 'MYC', 'CDKN1A', 'NCOR2', 'NCOR1', 'DNMT1', 'CEBPA', 'CEBPB', 'RBBP4', 'ASXL1', 'SKP2', 'TWIST1', 'XPO1', 'PARP1', 'SUZ12', 'SMAD4', 'SMAD3', 'ESR1', 'MAPK8']	0
A549_EGF_BIBF1120	MAPK1	9.61495088971464e-19	2	0	['RB1', 'MYC', 'AKT1', 'JUN', 'SNAI1', 'EZH2', 'CDKN1A', 'NCOR2', 'STAT3', 'FOXO3', 'FOXO1', 'SP1', 'CEBPA', 'CEBPB', 'PML', 'SKP2', 'TP53', 'TWIST1', 'CALM1', 'NCOA1', 'NCOA2', 'PARP1', 'RELA', 'SMAD2', 'SMAD1', 'SMAD4', 'SMAD3', 'CAV1', 'HMGA1', 'ESR1', 'SMAD7', 'BHLHE40', 'TCF3', 'GSK3B', 'SAFB', 'MAPK8', 'MAPK7']	0
A549_EGF_BIBF1120	CDK1	2.86973630347852e-16	3	0	['JUN', 'EZH2', 'NELFE', 'SIRT1', 'STAT3', 'SQSTM1', 'KPNB1', 'FOXO3', 'FOXO1', 'SP1', 'MDM4', 'NFE2L2', 'HSP90AA1', 'UHRF1', 'STUB1', 'TRIM28', 'TP53', 'SMARCA4', 'SNW1', 'HNF4A', 'NCOA2', 'NCOA3', 'RELA', 'CAV1', 'HMGA1', 'BHLHE40', 'TCF3', 'GSK3B', 'RB1', 'MYC', 'CDKN1A', 'NCOR2', 'NCOR1', 'MEN1', 'USP7', 'DNMT1', 'CEBPA', 'CEBPB', 'HDAC2', 'RBBP4', 'PML', 'ASXL1', 'SOX2', 'SKP2', 'XPO1', 'SUZ12', 'SMAD4', 'SMAD3', 'ESR1', 'MAPK8']	0
A549_EGF_BIBF1120	CDK4	3.40882578512094e-16	4	0	['RB1', 'MYC', 'SKP2', 'TP53', 'DNMT1', 'FOXO1', 'SMAD2', 'JUN', 'SMAD3', 'ESR1', 'SP1', 'MDM4', 'TCF3', 'CDKN1A', 'SUMO1', 'HSP90AA1', 'PARP1', 'CEBPA', 'CEBPB', 'STAT3']	0
A549_EGF_BIBF1120	HIPK2	3.86970827727299e-16	5	0	['TRIM28', 'MYC', 'TP53', 'SMAD2', 'SMAD1', 'SMAD3', 'CAV1', 'HMGA1', 'MDM4', 'PHF1', 'SUMO1', 'PARP1', 'PAX6', 'SIRT1', 'NCOR1', 'CEBPB', 'RELA', 'MAPK8', 'PML', 'ASXL1']	0
A549_EGF_BIBF1120	MAPK3	1.50063262209759e-15	6	0	['MYC', 'AKT1', 'TP53', 'TWIST1', 'JUN', 'CDKN1A', 'NCOA1', 'NCOA2', 'STAT3', 'FOXO3', 'FOXO1', 'SMAD2', 'SMAD4', 'SMAD3', 'CAV1', 'ESR1', 'SMAD7', 'SP1', 'BHLHE40', 'GSK3B', 'CEBPA', 'CEBPB', 'MAPK8', 'MAPK7', 'PML', 'STUB1']	0
A549_EGF_BIBF1120	GSK3B	1.32130190990781e-14	7	0	['JUN', 'SP1', 'UHRF1', 'TP53', 'SMARCA4', 'RELA', 'CAV1', 'BHLHE40', 'TCF3', 'SNAI1', 'CDKN1A', 'NCOR2', 'NCOR1', 'CEBPA', 'CEBPB', 'PML', 'ASXL1', 'TWIST1', 'KDM5A', 'MAPK8', 'MAPK7', 'DAXX', 'EZH2', 'SIRT1', 'STAT3', 'SQSTM1', 'KPNB1', 'FOXO3', 'FOXO1', 'MDM4', 'NFE2L2', 'SNW1', 'CALM1', 'NCOA2', 'NCOA3', 'HMGA1', 'GSK3B', 'RB1', 'MYC', 'DNMT1', 'SKIL', 'RBBP4', 'KLF5', 'SOX2', 'SKP2', 'SUZ12', 'SMAD2', 'SMAD1', 'SMAD4', 'SMAD3', 'SMURF1', 'ESR1', 'SMAD7']	0
A549_EGF_BIBF1120	AKT1	2.3049447948802e-13	8	0	['SOX2', 'MYC', 'AKT1', 'TP53', 'TWIST1', 'JUN', 'EZH2', 'CDKN1A', 'NCOR1', 'STAT3', 'SKI', 'PIAS2', 'DNMT1', 'FOXO4', 'FOXO3', 'FOXO1', 'SMAD4', 'SMAD3', 'ESR1', 'SP1', 'MDM4', 'TCF3', 'KDM5A', 'GSK3B']	0
A549_EGF_BIBF1120	ERK2	4.40613739106491e-13	9	0	['RB1', 'MYC', 'TP53', 'SMAD2', 'SMAD1', 'JUN', 'SMAD4', 'SMAD3', 'ESR1', 'SP1', 'TCF3', 'NCOA1', 'NCOA3', 'NCOR2', 'CEBPB', 'RELA', 'MAPK7', 'STAT3']	0
A549_EGF_BIBF1120	GSK3BETA	2.04373465119179e-12	10	0	['MYC', 'AKT1', 'TP53', 'DNMT1', 'FOXO3', 'FOXO1', 'SMAD1', 'JUN', 'SMAD3', 'ESR1', 'SNAI1', 'GSK3B', 'PHF1', 'HNF4A', 'PARP1', 'CEBPB', 'STAT3']	0
A549_EGF_BIBF1120	DNAPK	4.68890827005591e-12	11	0	['SOX2', 'TRIM28', 'AKT1', 'TP53', 'SMAD2', 'JUN', 'SMAD4', 'ESR1', 'SP1', 'TCF3', 'HSP90AA1', 'PARP1', 'RELA', 'MAPK9', 'MAPK8']	0
A549_EGF_BIBF1120	ERK1	1.03365833976478e-11	12	0	['MYC', 'SQSTM1', 'TP53', 'SMAD2', 'SMAD1', 'JUN', 'SMAD4', 'SMAD3', 'ESR1', 'SP1', 'TCF3', 'NCOR2', 'CEBPB', 'RELA', 'MAPK8', 'MAPK7', 'STAT3']	0
A549_EGF_BIBF1120	CDK2	1.82524710322151e-10	13	0	['JUN', 'SP1', 'UHRF1', 'TRIM28', 'TP53', 'SMARCA4', 'CAV1', 'BHLHE40', 'TCF3', 'RNF4', 'CDKN1A', 'NCOR2', 'USP7', 'CEBPB', 'HDAC2', 'PML', 'ASXL1', 'XPO1', 'PARP1', 'MAPK8', 'DAXX', 'EZH2', 'NELFB', 'NELFE', 'STAT3', 'YY1', 'KPNB1', 'FOXO3', 'FOXO1', 'MDM4', 'NFE2L2', 'SUMO1', 'HSP90AA1', 'SNW1', 'NCOA2', 'NCOA3', 'HMGA1', 'GSK3B', 'RB1', 'MYC', 'PAX6', 'MEN1', 'DNMT1', 'RBBP4', 'SOX2', 'SKP2', 'SUZ12', 'SMAD2', 'SMAD4', 'SMAD3', 'ESR1']	0
A549_EGF_BIBF1120	PKBALPHA	5.83659921768101e-10	14	0	['MYC', 'AKT1', 'SKP2', 'TP53', 'EZH2', 'CDKN1A', 'NCOR2', 'RELA', 'FOXO4', 'FOXO3', 'FOXO1', 'SMAD2', 'SMAD3', 'ESR1', 'MDM4', 'GSK3B', 'HSP90AA1']	0
A549_EGF_BIBF1120	JNK1	8.13667752172929e-10	15	0	['CDKN1A', 'HNF4A', 'MYC', 'SIRT1', 'TP53', 'RELA', 'MAPK8', 'SMAD2', 'JUN', 'SMAD3', 'STAT3', 'SP1']	0
A549_EGF_BIBF1120	GSK3ALPHA	1.10496666386126e-09	16	0	['GSK3B', 'HNF4A', 'MYC', 'AKT1', 'PARP1', 'TP53', 'FOXO3', 'FOXO1', 'JUN', 'ESR1']	0
A549_EGF_BIBF1120	MAPK8	1.6373595320417e-09	17	0	['SOX2', 'MYC', 'TP53', 'TWIST1', 'JUN', 'CDKN1A', 'NCOA3', 'SIRT1', 'SUZ12', 'STAT3', 'FOXO4', 'FOXO3', 'HMGA1', 'SP1', 'BHLHE40', 'NFE2L2', 'STUB1']	0
A549_EGF_BIBF1120	CK2ALPHA	2.66372152760405e-09	18	0	['RB1', 'MYC', 'AKT1', 'TP53', 'JUN', 'SMARCA4', 'NCOR2', 'RELA', 'YY1', 'VDR', 'SP1', 'SUMO1', 'HSP90AA1', 'HDAC2', 'HDAC3', 'RBBP4', 'PML']	0
A549_EGF_BIBF1120	ABL1	8.97639497882385e-08	19	0	['RB1', 'MYC', 'TP53', 'JUN', 'CAV1', 'ESR1', 'SNW1', 'MDM4', 'CDKN1A', 'NCOA3', 'CEBPB', 'HDAC2', 'STAT3']	0
A549_EGF_BIBF1120	PKBBETA	1.4843277939847e-07	20	0	['GSK3B', 'CDKN1A', 'FOXO4', 'FOXO3', 'FOXO1', 'RELA', 'AKT1', 'ESR1']	0
A549_EGF_BIBF1120	TGFBR2	2.59544547248352e-07	21	0	['MYC', 'HSP90AA1', 'TP53', 'SMAD2', 'SMAD3', 'CAV1', 'PML', 'SP1', 'SNAI1']	0
A549_EGF_BIBF1120	IKKALPHA	6.62161005300383e-07	22	0	['HSP90AA1', 'FOXO3', 'RELA', 'NCOR2', 'IRF7', 'AKT1']	0
A549_EGF_BIBF1120	CHUK	8.57022512223011e-07	23	0	['MYC', 'BTRC', 'NCOA3', 'NCOR2', 'NCOR1', 'FOXO3', 'RELA', 'ESR1', 'CALM1']	0
A549_EGF_BIBF1120	RPS6KA3	1.23547034578893e-06	24	0	['MYC', 'TP53', 'JUN', 'CDKN1A', 'HNF4A', 'NCOR2', 'KAT2B', 'STAT3', 'FOXO3', 'SMAD3', 'HMGA1', 'ESR1', 'SMAD7', 'BHLHE40', 'GSK3B']	0
A549_EGF_BIBF1120	GSK-3-B	1.79194238493212e-06	25	0	['CDKN1A', 'CEBPB', 'RELA', 'MYC', 'ESR1', 'SNAI1']	0
A549_EGF_BIBF1120	IKKBETA	1.8282450154091e-06	26	0	['FOXO3', 'RELA', 'AKT1', 'STAT3', 'IRF7', 'SQSTM1', 'TP53']	0
A549_EGF_BIBF1120	JNK2	3.01472965422211e-06	27	0	['RB1', 'RELA', 'MYC', 'SMAD2', 'JUN', 'TP53']	0
A549_EGF_BIBF1120	CDC2	5.37535050526771e-06	28	0	['RB1', 'TRIM28', 'MYC', 'SKP2', 'TP53', 'JUN', 'EZH2', 'CDKN1A', 'XPO1', 'PARP1', 'NCOR1', 'RELA', 'STAT3', 'FOXO1']	0
A549_EGF_BIBF1120	ATM	5.44167301766466e-06	29	0	['RB1', 'SOX2', 'TRIM28', 'DAXX', 'TP53', 'SMARCA4', 'EZH2', 'PARP1', 'MEN1', 'SMAD1', 'SP1', 'MDM4', 'HSP90AA1']	0
A549_EGF_BIBF1120	PRKCB	5.49414083104594e-06	30	0	['AKT1', 'TP53', 'JUN', 'CDKN1A', 'STAT3', 'CAV1', 'ESR1', 'SMAD7', 'BHLHE40', 'GSK3B', 'MAPK9', 'ASXL1']	0
A549_EGF_BIBF1120	PRKCZ	7.44899427759422e-06	31	0	['GSK3B', 'AKT1', 'PIAS4', 'NCOA3', 'RELA', 'MAPK7', 'STAT3', 'SP1']	0
A549_EGF_BIBF1120	PRKCD	8.00206552369752e-06	32	0	['TRIM28', 'SQSTM1', 'TP53', 'JUN', 'CAV1', 'NFE2L2', 'GSK3B', 'CDKN1A', 'MAPK8', 'STAT3']	0
A549_EGF_BIBF1120	CSNK1E	1.00289791678758e-05	33	0	['MYC', 'NCOA3', 'TP53', 'DNMT1', 'ESR1', 'SMARCA4', 'SNAI1']	0
A549_EGF_BIBF1120	CK2-A	1.76265734590742e-05	34	0	['AKT1', 'HSP90AA1', 'HDAC2', 'RELA', 'MAPK9', 'JUN', 'VDR']	0
A549_EGF_BIBF1120	MELK	2.55587796102139e-05	35	0	['SMAD2', 'SMAD4', 'SMAD3', 'SMAD7', 'TP53']	0
A549_EGF_BIBF1120	PKBGAMMA	2.9856935240231e-05	36	0	['GSK3B', 'CDKN1A', 'FOXO3', 'FOXO1', 'RELA']	0
